,Unnamed: 0,code,base_price,delta,today_open,today_close,today_high,today_low,tomorrow_open,tomorrow_close,tomorrow_high,tomorrow_low,buy_flag
148,2395,603960,28.212,0.0626097247004509,26.942607879638672,27.16649627685547,27.79767799377441,26.29606819152832,27.062597274780273,27.28110122680664,27.94245910644531,26.38567543029785,1
152,912,002562,7.272,0.062348302453756325,5.1729607582092285,5.205337047576903,5.329133987426758,5.0457634925842285,5.204378604888916,5.23002815246582,5.360358238220215,5.071405410766602,1
157,2620,600386,4.89,0.062193267047405236,3.83476996421814,3.86430287361145,3.9147424697875977,3.767301082611084,3.9050607681274414,3.937030792236328,4.001601696014403,3.8407835960388175,1
163,1738,000622,4.28,0.061466824263334274,3.040666341781616,3.0637784004211426,3.1135287284851074,2.9764995574951167,3.071970701217652,3.0966079235076904,3.1594555377960205,3.007201194763184,1
166,2064,600665,3.99,0.061236832290887826,3.455673694610596,3.482879161834717,3.533331871032715,3.3975000381469727,3.526176929473877,3.551843643188477,3.6055521965026855,3.472287893295288,1
168,2250,600197,20.43,0.06115558370947838,22.317752838134766,22.468780517578125,22.95990562438965,21.82808494567871,22.433374404907227,22.60755729675293,23.162994384765625,21.92543029785156,1
169,1036,002255,7.11,0.06109228730201721,5.197895050048828,5.234832763671875,5.30518102645874,5.097611427307129,5.274169921875,5.3170928955078125,5.409036636352539,5.180468559265137,1
173,2431,002204,4.12,0.06093763932585716,3.8701386451721187,3.9019167423248287,3.956400871276856,3.811867713928223,3.9616582393646236,3.9902265071868896,4.044154167175293,3.906928300857544,1
175,582,000061,6.69,0.06085805594921113,5.7792816162109375,5.8258605003356925,5.909870147705077,5.677986145019531,5.85396671295166,5.9051833152771,6.0235371589660645,5.738193988800049,1
178,2618,300012,4.89,0.06076861545443535,5.023964405059815,5.062615871429443,5.160590648651123,4.924225807189941,5.073428153991699,5.1141676902771,5.223464012145996,4.9721035957336435,1
183,1338,002619,4.74,0.06056152656674385,4.202976703643799,4.235392093658446,4.301802158355713,4.125382423400879,4.2581448554992685,4.2940874099731445,4.3752217292785645,4.177446365356444,1
187,1517,600958,11.86,0.060269489884376526,9.324603080749512,9.40408706665039,9.511202812194824,9.181535720825195,9.528979301452637,9.607481002807617,9.734902381896973,9.395870208740234,1
188,2708,600313,2.9,0.060238029807806015,3.1129262447357178,3.133234024047852,3.202742338180542,3.0520827770233154,3.1603467464447017,3.1760768890380864,3.2359342575073238,3.1055843830108643,1
190,86,600673,9.74,0.060182757675647736,10.037246704101562,10.121471405029297,10.332352638244627,9.82699966430664,10.113648414611816,10.193899154663086,10.418416023254396,9.90273666381836,1
194,1030,603806,30.444000000000003,0.060047615319490426,22.72966194152832,22.87139320373535,23.187355041503906,22.344810485839844,23.24171257019043,23.36480140686035,23.68656349182129,22.893760681152344,1
199,1687,600960,6.15,0.05980511754751205,5.47876501083374,5.516504287719727,5.614816665649414,5.370309352874756,5.543257236480713,5.584729671478272,5.691481590270996,5.437822818756104,1
