index,amount,change,date,price,time,type,volume
294,31512,0.0,2018-09-03,8.08,09:48:48,卖盘,39
295,2427,0.01,2018-09-03,8.09,09:48:51,买盘,3
296,4042,0.0,2018-09-03,8.09,09:48:54,买盘,5
297,4040,-0.01,2018-09-03,8.08,09:48:57,卖盘,5
298,4848,0.0,2018-09-03,8.08,09:49:04,卖盘,6
299,6470,0.01,2018-09-03,8.09,09:49:07,买盘,8
300,8888,-0.01,2018-09-03,8.08,09:49:12,卖盘,11
301,12944,0.01,2018-09-03,8.09,09:49:16,买盘,16
302,4854,0.0,2018-09-03,8.09,09:49:19,买盘,6
303,8899,0.0,2018-09-03,8.09,09:49:25,卖盘,11
304,1618,0.0,2018-09-03,8.09,09:49:33,卖盘,2
305,1620,0.01,2018-09-03,8.1,09:49:40,买盘,2
306,11340,0.0,2018-09-03,8.1,09:49:46,买盘,14
307,29155,-0.01,2018-09-03,8.09,09:50:01,卖盘,36
308,29934,0.01,2018-09-03,8.1,09:50:04,买盘,37
309,4854,-0.01,2018-09-03,8.09,09:50:06,卖盘,6
310,35561,-0.01,2018-09-03,8.08,09:50:10,卖盘,44
311,810,0.02,2018-09-03,8.1,09:50:16,买盘,1
312,2430,0.0,2018-09-03,8.1,09:50:19,卖盘,3
313,2432,0.01,2018-09-03,8.11,09:50:22,买盘,3
314,4050,-0.01,2018-09-03,8.1,09:50:31,卖盘,5
315,377977,-0.04,2018-09-03,8.06,09:50:37,卖盘,468
316,7283,0.03,2018-09-03,8.09,09:50:39,中性盘,9
317,809,0.0,2018-09-03,8.09,09:50:43,买盘,1
318,24182,-0.03,2018-09-03,8.06,09:50:52,卖盘,30
319,8899,0.03,2018-09-03,8.09,09:51:01,卖盘,11
320,11303,-0.02,2018-09-03,8.07,09:51:16,卖盘,14
321,36270,-0.01,2018-09-03,8.06,09:51:18,卖盘,45
322,8060,0.0,2018-09-03,8.06,09:51:21,买盘,10
323,37076,0.0,2018-09-03,8.06,09:51:25,买盘,46
324,157054,0.0,2018-09-03,8.06,09:51:28,买盘,195
325,8060,0.0,2018-09-03,8.06,09:51:31,卖盘,10
326,3224,0.0,2018-09-03,8.06,09:51:36,卖盘,4
327,24990,0.0,2018-09-03,8.06,09:51:40,卖盘,31
328,19344,0.0,2018-09-03,8.06,09:51:43,买盘,24
329,14508,0.0,2018-09-03,8.06,09:51:46,买盘,18
330,9674,0.01,2018-09-03,8.07,09:51:52,买盘,12
331,18540,-0.01,2018-09-03,8.06,09:51:55,卖盘,23
332,7254,0.0,2018-09-03,8.06,09:51:58,买盘,9
333,38683,0.0,2018-09-03,8.06,09:52:04,买盘,48
334,80507,-0.01,2018-09-03,8.05,09:52:07,卖盘,100
335,4035,0.02,2018-09-03,8.07,09:52:12,买盘,5
336,107035,-0.02,2018-09-03,8.05,09:52:16,卖盘,133
337,41866,0.01,2018-09-03,8.06,09:52:19,买盘,52
338,9684,0.01,2018-09-03,8.07,09:52:22,买盘,12
339,9672,-0.01,2018-09-03,8.06,09:52:25,卖盘,12
340,806,0.0,2018-09-03,8.06,09:52:28,卖盘,1
341,8855,-0.01,2018-09-03,8.05,09:52:31,卖盘,11
342,57102,-0.01,2018-09-03,8.04,09:52:33,卖盘,71
343,8060,0.02,2018-09-03,8.06,09:52:37,买盘,10
344,20116,0.0,2018-09-03,8.06,09:52:43,买盘,25
345,16095,-0.02,2018-09-03,8.04,09:52:46,卖盘,20
346,1611,0.01,2018-09-03,8.05,09:52:49,中性盘,2
347,2414,0.0,2018-09-03,8.05,09:52:52,买盘,3
348,48333,0.01,2018-09-03,8.06,09:52:55,买盘,60
349,42665,-0.01,2018-09-03,8.05,09:52:58,中性盘,53
350,5630,-0.01,2018-09-03,8.04,09:53:01,卖盘,7
351,13670,0.0,2018-09-03,8.04,09:53:04,卖盘,17
352,10455,0.01,2018-09-03,8.05,09:53:06,买盘,13
353,4029,0.01,2018-09-03,8.06,09:53:10,买盘,5
354,35415,-0.02,2018-09-03,8.04,09:53:13,卖盘,44
355,1612,0.02,2018-09-03,8.06,09:53:16,买盘,2
356,37879,0.0,2018-09-03,8.06,09:53:19,买盘,47
357,25735,-0.02,2018-09-03,8.04,09:53:22,卖盘,32
358,2418,0.02,2018-09-03,8.06,09:53:28,卖盘,3
359,15318,0.01,2018-09-03,8.07,09:53:34,买盘,19
360,13719,0.0,2018-09-03,8.07,09:53:39,卖盘,17
361,2418,-0.01,2018-09-03,8.06,09:53:46,买盘,3
362,5642,0.0,2018-09-03,8.06,09:53:52,买盘,7
363,8060,0.0,2018-09-03,8.06,09:53:55,买盘,10
364,7254,0.0,2018-09-03,8.06,09:53:58,买盘,9
365,22568,0.0,2018-09-03,8.06,09:54:04,买盘,28
366,7253,-0.01,2018-09-03,8.05,09:54:10,卖盘,9
367,806,0.01,2018-09-03,8.06,09:54:15,买盘,1
368,5642,0.0,2018-09-03,8.06,09:54:22,买盘,7
369,46737,0.0,2018-09-03,8.06,09:54:25,买盘,58
370,8060,0.0,2018-09-03,8.06,09:54:28,买盘,10
371,5642,0.0,2018-09-03,8.06,09:54:30,买盘,7
372,16120,0.0,2018-09-03,8.06,09:54:33,买盘,20
373,4026,0.0,2018-09-03,8.06,09:54:39,买盘,5
374,8866,0.0,2018-09-03,8.06,09:54:42,买盘,11
375,5642,0.0,2018-09-03,8.06,09:54:46,买盘,7
376,2418,0.0,2018-09-03,8.06,09:54:49,买盘,3
377,20150,0.0,2018-09-03,8.06,09:54:55,卖盘,25
378,1612,0.0,2018-09-03,8.06,09:54:58,买盘,2
379,4030,0.0,2018-09-03,8.06,09:55:01,买盘,5
380,16120,0.0,2018-09-03,8.06,09:55:07,买盘,20
381,31434,0.0,2018-09-03,8.06,09:55:10,买盘,39
382,22568,0.0,2018-09-03,8.06,09:55:13,卖盘,28
383,8060,0.0,2018-09-03,8.06,09:55:19,卖盘,10
384,3232,0.02,2018-09-03,8.08,09:55:22,买盘,4
385,25848,0.0,2018-09-03,8.08,09:55:25,买盘,32
386,8080,0.0,2018-09-03,8.08,09:55:28,买盘,10
387,33937,0.01,2018-09-03,8.09,09:55:37,买盘,42
388,4043,0.0,2018-09-03,8.09,09:55:46,买盘,5
389,8090,0.0,2018-09-03,8.09,09:55:49,买盘,10
390,14559,0.0,2018-09-03,8.09,09:55:52,买盘,18
391,218984,-0.01,2018-09-03,8.08,09:55:55,卖盘,271
392,161664,0.0,2018-09-03,8.08,09:55:58,卖盘,200
393,4848,0.0,2018-09-03,8.08,09:56:00,卖盘,6
394,808,0.0,2018-09-03,8.08,09:56:04,买盘,1
395,9696,0.0,2018-09-03,8.08,09:56:10,买盘,12
396,16146,-0.01,2018-09-03,8.07,09:56:16,卖盘,20
397,1616,0.01,2018-09-03,8.08,09:56:19,买盘,2
398,810,0.02,2018-09-03,8.1,09:56:25,买盘,1
399,809,-0.01,2018-09-03,8.09,09:56:37,买盘,1
400,15352,-0.01,2018-09-03,8.08,09:56:40,卖盘,19
401,37168,0.0,2018-09-03,8.08,09:56:49,买盘,46
402,1616,0.0,2018-09-03,8.08,09:57:04,买盘,2
403,38776,0.0,2018-09-03,8.08,09:57:09,买盘,48
404,8080,0.0,2018-09-03,8.08,09:57:12,买盘,10
405,3232,0.0,2018-09-03,8.08,09:57:21,买盘,4
406,11307,0.0,2018-09-03,8.08,09:57:25,买盘,14
407,808,0.0,2018-09-03,8.08,09:57:31,买盘,1
408,12912,-0.01,2018-09-03,8.07,09:57:34,卖盘,16
409,40396,0.01,2018-09-03,8.08,09:57:37,买盘,50
410,105717,-0.01,2018-09-03,8.07,09:57:46,买盘,131
411,1614,0.0,2018-09-03,8.07,09:57:58,卖盘,2
412,1616,0.01,2018-09-03,8.08,09:58:01,买盘,2
413,83933,0.0,2018-09-03,8.08,09:58:07,买盘,104
414,12105,-0.01,2018-09-03,8.07,09:58:10,卖盘,15
415,7263,0.0,2018-09-03,8.07,09:58:12,卖盘,9
416,808,0.01,2018-09-03,8.08,09:58:16,买盘,1
417,13735,0.0,2018-09-03,8.08,09:58:19,买盘,17
418,7263,-0.01,2018-09-03,8.07,09:58:30,卖盘,9
419,38784,0.01,2018-09-03,8.08,09:58:40,买盘,48
420,9684,-0.01,2018-09-03,8.07,09:58:43,卖盘,12
421,2424,0.01,2018-09-03,8.08,09:58:49,买盘,3
422,807,-0.01,2018-09-03,8.07,09:58:52,卖盘,1
423,2424,0.01,2018-09-03,8.08,09:58:55,买盘,3
424,12928,0.0,2018-09-03,8.08,09:59:10,买盘,16
425,4035,-0.01,2018-09-03,8.07,09:59:15,卖盘,5
